"filename", "language", "JSON", "JavaScript", "Properties", "TypeScript", "JSON with Comments", "YAML", "TypeScript JSX", "PostCSS", "XML", "HTML", "Markdown", "comment", "blank", "total"
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\users\UsersTableOperations.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\users\useDeleteUser.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\users\useUpdateUser.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\users\useUser.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\users\useUsers.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 1, 5, 41
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\BookingColumns.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 12, 202
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\BookingDataBox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 10, 109
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\BookingDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 10, 104
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\BookingFormDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\BookingsDataTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 9, 121
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\BookingsTableOperations.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"d:\react-projects\the-wild-oasis-ts\src\features\bookings\CreateBookingForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 35
